# Pathway HUMAnN v4.0.0.alpha.1	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	618.4631348144	1707.5346587492	374.7782390366	1704.5126058364	227.4857855978	1637.6107806965	45.4249308109	148.9977669315	289.8505782578	77.2216366735	673.5863560576	1544.4910085115	114.3807789147	906.2641227169	2967.6136091491	967.4539541154	257.2655288757	1192.8384685811	622.1944836813	949.1646405656	496.8895422747	1439.2044758877	652.8587109693	525.3580577598	3249.9489432382	672.3710889886	64.9297154092	146.3145396443	693.1374104082	658.5027120246	1279.0227633291	500.6935846326	537.0890459441	21.1861066762	2673.8306451510	955.7013244294	2370.8054905337	491.1719570710	727.2625237087	3984.6535408890
P161-PWY: acetylene degradation (anaerobic)	24319.8187099533	17841.2772078855	16485.6161272212	23472.0757244575	10056.7479387551	20386.6602362086	17778.1785926483	17214.5465574764	12612.6053791732	8225.2842461429	8925.8686190537	14264.6861912497	34437.4040426498	21121.3225918212	13761.5299343254	11551.0452316960	18178.2400359558	12093.1598088244	12462.3508955585	5886.3146363532	21623.0857211379	16163.1528141478	19861.6594052148	12759.2838292739	15044.3978454314	9319.0370173975	7437.4493763880	18347.3728456451	24464.5936474141	8944.5790444499	18863.6620218233	10888.4517925767	11587.0729752033	9811.6434778849	19873.6370715241	8323.3415243882	35367.6052314064	20846.7324778966	17429.1623740775	37405.2269909992
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	1541.6238781282	2361.0931983984	2005.4956319663	4002.4226592082	1397.4931875335	1523.2557064837	1068.4223396314	533.8589472473	816.5689195266	1056.6932352693	877.9683421085	998.7275385783	173.8259956161	150.0961239737	971.1162710650	613.2265853075	973.0501899584	809.4297199929	419.3454528237	1415.5305588599	140.8035902507	531.2115551053	1260.4961151119	1149.1145432672	1307.5297302374	489.5999418789	421.9778486731	2698.1593587822	1075.3263052918	219.9143361586	556.0473391509	1178.5466857013	1183.2144248238	925.8751535166	1069.5398291935	1851.2928373306	1147.7016151155	2092.1251206697	666.2175628892	2683.9086371712
P163-PWY: L-lysine fermentation to acetate and butanoate	3104.1776124454	5034.7224343543	1674.9773967488	2107.2749486909	1431.6833482030	3144.6988348314	80.2812612133	72.8470457303	498.6468056521	677.7361156571	810.9558669965	3723.9074791658	196.8392096745	187.8845358066	105.3300084492	32.7020935506	1164.8191430792	1377.8864272442	366.2543369338	5206.0182078368	96.6192768309	0	152.2491183253	1050.7921666562	942.8769245115	1440.3982201166	1157.8317007671	2112.2066868206	46.2057792495	961.7090265474	225.3931048363	940.5579094351	815.1234925719	414.6539889430	133.8706103642	839.4232784109	120.3614777369	3953.5734462055	5533.7346245513	108.0564056480
P164-PWY: purine nucleobases degradation I (anaerobic)	5655.9777542349	7446.9681494802	3934.9407014091	7719.1545287837	3950.8932061902	5981.3774087272	3838.6417030502	4147.8652702907	5014.7082849144	5566.6372481876	3635.5060454124	4883.6796150184	3325.1624755447	5719.4986784198	4558.6370629610	4465.9093316203	5065.5106857744	4627.4234900482	2002.0568377014	4666.7920483262	2639.6854752045	3702.1253406960	3419.6112660257	2640.5089604502	7552.1082289965	3737.6956649114	2946.9968326180	4962.0551259353	4475.8322568731	4315.1756036886	4645.8264351103	3890.7345890194	2650.8098251276	3142.9451755744	3703.8366546182	3407.5325829657	7279.7499602708	5621.7484045646	5825.7548835364	6503.2298892385
P165-PWY: superpathway of purines degradation in plants	0	60.5828119127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)	0	0	15.7156428901	0	0	0	0	0	0	0	0	39.2848852539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	4522.8377412021	4793.5582209452	6295.4138233758	14088.8714134702	5708.8435857358	6945.4063776070	1486.4581513982	3014.5907589856	5328.9263837772	4425.4515061576	3694.6396526429	2908.6687595650	26953.2755084425	6298.6082365373	6961.3269318461	17778.1955288327	2371.3684088979	2417.7797122079	2523.7517239239	2163.4876883780	3863.5810115768	6598.2774192965	4530.9058300358	2345.0713595371	7106.2987200372	1581.5846661874	1620.8385331659	8008.3729036300	6343.1182856553	2020.6294705246	4012.1923233996	2420.8838512827	2085.2043780068	1547.1543900954	6272.2452162653	2362.8963782443	13102.5093092951	6059.3635641592	4135.5286526825	11363.4373769838
P221-PWY: octane oxidation	240.6042055826	437.9976397508	325.0730925945	478.9643956157	559.9160771295	1628.1900564595	205.8052551925	51.4278277337	441.5372656711	77.2280540768	58.2040655243	491.0338678935	165.1535973525	39.1926080985	217.2893238249	14.2934652105	366.5301129537	178.8678461219	15.2184927660	54.1840943134	183.7602028781	1193.6843419221	340.0914302422	447.5819873719	1211.3001240370	276.0029682731	396.2141524594	309.4479067686	531.0993417867	68.1932571352	134.2038545299	691.1039913050	309.4530875908	408.5339455730	707.1792884345	173.6290906525	118.0735557151	668.2928219685	295.7056094966	353.5647679365
P23-PWY: reductive TCA cycle I	7991.8826148912	9326.4031442534	4945.2776196449	9712.9332011454	7040.5753790747	11409.1957074858	1344.9275450128	2140.1931380483	6185.4754713308	1769.1118209905	6428.0709043423	5166.5027514395	13844.4301647190	467.2326490332	2204.1049470184	1540.2789902182	7636.8456288055	2919.1920684516	2945.2933357605	6107.3441141166	539.3322220969	1138.0209989760	6147.0972785711	4929.2077390648	4849.3565413732	6545.9019014920	4897.1334994439	11616.2075775545	3365.1988348532	3128.7188577463	1347.6175451949	3242.2411046504	5737.4726243268	4888.5907936443	2013.3272985548	4158.9969438271	5673.9363615161	11680.7029945490	13360.5300160784	4618.5708163498
P261-PWY: coenzyme M biosynthesis I	0	848.6863558150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3-PWY: gallate degradation III (anaerobic)	82.3760770508	213.6554282265	145.0281720804	39.1042966589	55.1292036603	27.4205665479	0	43.2471258074	30.6426017637	18.5994006109	95.3343671672	73.2513038116	15.0098393172	17.8151365420	43.5775171494	30.3797977645	30.8237782239	41.9358729744	0	59.1578733961	0	0	49.3588452574	143.5504049246	0	24.3938769672	38.4489988781	44.6015905302	49.8369448303	24.3208408423	65.2240101550	43.8639412370	84.0221674702	35.7144175643	23.4393481470	43.5468348480	0	48.7489947987	84.0507974213	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	10011.8714871497	10491.0088115005	19322.7257805942	17450.3835445973	8551.1076001299	14982.7878970742	7069.9018137877	7222.8323259200	1136.8310305925	5465.5440090167	4044.4115094886	2651.2279674275	21728.5698701517	5131.1377511312	5621.1470600908	7208.6657420326	10667.8702152478	8424.8496440331	8134.8175208453	4363.8284793286	7516.8512883851	8333.5377066170	1923.6466229854	7153.6010159925	4551.0485647471	5442.7494706174	4694.8567677276	18319.1462955879	6179.7274009466	2328.3680359464	12724.1378262560	5303.4585916287	5373.8440950096	6658.1817601567	11709.5177176386	7637.5845910543	21548.2089039985	13967.0085577947	11065.7494878814	9793.6983342065
P42-PWY: incomplete reductive TCA cycle	12155.8203953609	15713.9763898804	8289.4960379187	24062.8001801759	9634.1045336043	16171.5375905502	4173.7392055517	3680.2458878251	14291.0363355369	4323.4660402177	12258.2982064360	9809.1075942151	18694.1469171613	1331.7729424368	4048.5681994814	14754.5042896129	12281.4704369907	5848.3118699828	5889.2240813010	12190.9363271692	1304.7538268122	6334.7833479610	7797.5628178118	7917.6568722213	9193.9096512941	12752.1417531814	6924.8482563481	21117.8190927246	5304.8826395299	4145.5683827360	2442.8188146761	4721.9361732133	10978.1976914765	8454.4597295170	3635.7733692484	7525.0538619275	11150.2632821737	19991.0251249492	20825.9281033389	6899.2281065927
P441-PWY: superpathway of N-acetylneuraminate degradation	17014.7534498858	20006.6013299274	25483.0721421558	26266.6640050563	13783.9487291320	22827.0544234665	12588.8839430906	16310.3995789249	14865.1342333787	9944.7553365098	11414.8816102989	13184.7781862108	25108.0052210699	16392.1204996372	13637.0545987340	14882.5527135996	18268.0225463711	10276.1208746209	12821.7804786627	9769.8628320217	18444.5330341941	12738.4515696566	14115.7325440278	10844.4982228650	17314.8505508587	10654.1622772331	11285.3539680201	27130.0613158400	17349.6119170550	8906.6133347768	16870.1351578927	9344.9960161904	11706.6097430239	12052.6540132482	18528.7689680246	9197.9349520964	32266.7513876500	22525.4263805758	21677.6870622530	28309.8747958490
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	4206.9547745937	3834.8166561561	4192.2982256987	7388.5989136794	5494.2113236274	6223.1027459092	1782.1151727253	2602.6167138920	4551.6036473509	4592.6366990412	1507.8022267954	3549.3062851527	13845.8067930207	4130.1207544892	4446.6571883549	1523.3219851441	4592.1017432183	1445.5859926164	2251.6128214652	1292.9617416168	2359.8148199182	4023.1802334157	3867.0047613652	1953.5931755115	5127.7584501397	1976.6892017100	1190.6847675844	6639.3545730326	3656.7070939246	2917.0125100351	1155.1305404507	2034.1257517290	2282.5958503654	710.6061158235	3168.5992676213	1911.7970323361	8814.6700263259	5263.4564994053	3602.0879943550	11101.8220105555
P562-PWY: myo-inositol degradation I	506.9941052588	462.2566067696	345.3200929501	768.8482822910	311.3002790881	681.1716210087	0	136.3099943977	180.0327097248	115.9263295661	93.8946238753	298.9410604765	46.9087341543	602.4921744739	429.1086319121	31.3355223917	461.0092230565	442.2042450295	0	35.3442845434	398.5017387436	893.3424914133	193.7752689201	287.8682589883	415.4102008473	211.2808511524	91.6530869816	127.6320410790	145.1161894598	435.9370314612	212.6182650783	364.9208231114	429.4839222553	94.2887836809	511.9590980407	513.8070882440	153.0298086233	745.3508141559	87.0145733987	1234.5818296494
PANTO-PWY: phosphopantothenate biosynthesis I	27464.5874239398	31365.4503020676	22391.7850368102	29745.5444372457	13027.1375131635	34947.6347786692	14332.3622760535	12810.9558714725	16832.4630261621	16135.5508858545	15052.4367996246	11205.7636791142	18797.4909204301	15499.3953303840	15860.5118611456	23848.1439691101	25958.7846875468	15024.3871134399	12310.0060168242	18215.8346468561	13843.0957612887	20679.7559344466	13953.5093535960	13458.4652684776	16132.1408759719	16073.8243103207	15933.1188425017	26233.8122568222	15283.0022325538	16571.8892072295	13037.2127383286	14442.3551579175	12831.3667277591	15914.3237922096	18928.5885931063	14466.7588108454	26920.0178078349	29099.7677897443	30220.0449185218	32189.8007354187
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	29903.0241912472	32951.8918321823	25144.5357474927	31990.7114106116	14590.5645765932	36439.9490056892	16192.8410488335	14417.1272684325	17646.3070371350	17188.2525530148	16202.6426801251	12775.6641969828	20354.4319566369	17749.8786682235	16934.8224510984	23278.3554309611	28137.9602503702	17236.4371827360	14395.8477044000	18026.5560359250	17167.0064528914	20526.5941334589	15229.4412331091	15242.0353435529	15689.6498042450	16738.9960702543	17454.3963376154	28544.2262598787	16692.0516754041	17503.6658366325	15384.5977356452	15919.5595725450	14421.5413024379	17087.5378779710	20955.4886412207	16137.4052297130	28718.5314991624	32136.4072790662	31953.6804018501	32643.0302188711
PENTOSE-P-PWY: pentose phosphate pathway	11889.9083073699	16954.2305654003	13417.6949025070	25388.2747354055	12620.5699238923	20934.9140877476	6630.6711207578	15113.2572192032	14156.1578276600	4105.6458509884	12653.1094997225	15187.9202843374	29675.2460983372	19918.5943673346	12067.3856557293	22249.8082737552	17831.4647174625	5741.7156421315	10043.3096445692	9529.8185177670	19753.8895386375	6377.9093498015	8402.8505570682	8878.0600938158	15663.6672533294	10462.3054498948	10976.8938633862	27412.9995285912	11223.6684823009	6628.7855006901	13943.3925317414	4797.5905742535	12256.5402477745	11006.7936799672	13263.5326078513	8091.7953098989	26588.5120870000	23987.5432985416	22845.2141367243	29272.2151730191
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	53304.0058737534	53154.2656795273	48047.4717383776	52318.6869691733	23695.1058968868	50430.1851385551	29011.0729025977	25487.7133347230	26370.3608954024	27625.2725321486	24699.6025690066	29607.9237989439	28568.1923023118	29186.5481822817	26729.5190624627	31527.7738536441	41915.1413089370	25916.0570629019	25266.1725362901	25158.3088692300	33278.3278533220	25237.6364526904	30379.3848390580	28677.7043608666	26780.2454371597	24876.8459917712	25088.4859056696	47498.6829576578	29237.7172338389	25828.3149867640	31885.8642035683	28155.2625496234	23978.5632284300	24762.5670990112	31931.9518627467	26799.4313975463	49230.7223827435	48448.2376031626	51074.6621481324	59056.2872674147
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	7586.9695527540	11621.6896687666	8049.2763949095	15636.7956061469	14816.9647972439	20733.5365730073	3118.2781526972	5649.1895795319	8151.1442147535	7949.0344347212	9833.6769076996	6031.9295574416	29524.4888107169	2074.0006325706	7197.7469329557	4727.2565890018	13030.0591174319	3274.0898390223	2722.0002897335	8119.2937510426	6675.6818779538	11561.8513923156	4106.2335134355	9099.7691306733	7490.9008158880	9398.9633947765	9826.9481794937	22211.4042957560	11298.5734612276	5729.3280433197	4233.9052326301	6494.1826487746	9923.5086557734	8591.5595688446	5792.9113934617	4361.5199591332	18686.4484952345	23135.4043449963	19243.5446261571	17123.7356903682
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	1519.8365067478	3540.9947310009	659.8375507287	3548.5466810798	1951.0281342690	3608.1207590348	420.1804467905	899.1608810188	1617.2393229938	235.8043560146	1423.5767288431	2118.4353000400	929.8283709080	249.4593021373	605.4403746077	492.1016337606	1663.5187448293	852.0590340042	836.3109196612	1972.8780961802	181.3050373157	289.1052660855	665.2416277289	1051.8584595930	1860.9079124461	1655.2308746063	1379.3021265757	1842.3221052012	1039.9641961552	612.3194681720	1195.0719728804	2664.0188261920	2297.1454940004	674.0319342408	313.9308872363	1057.9463620811	600.1020862424	4997.1093732463	4053.4605269977	1090.7066391064
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	6861.4500134940	4754.0684041855	5945.9691060870	15508.4082990906	4198.1762591254	6688.0417911110	1193.3439494638	984.7704389917	3362.9798922311	4559.9962382079	3683.1775835255	2608.3156776816	11134.7572075784	381.4581107480	3354.9893484510	18729.5529752005	4863.6382378379	2573.8846609337	3752.7089691150	2033.4825485155	2661.9822768818	5068.6730036029	2964.1616374416	3728.1535484712	2610.2257144781	2933.9231709910	3245.6503484815	5388.5048140111	3101.4639601832	1244.2763325582	2674.6004559428	3854.0961927158	3615.1110385132	3024.5601651711	1605.0725892068	4285.0492081225	6419.6195661434	9512.6650934427	4116.3515104153	2773.9826521006
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	11044.5159550427	19177.2108229926	12717.5510356967	16095.9804134755	10240.2109465286	21284.3504868249	4961.2751263954	9807.3197801982	8938.1115465295	5034.9373402542	10110.4466521658	6806.9308017051	17881.5792771970	12718.5329031837	8233.5017171532	5349.4313357244	18070.5497797353	6452.7603791433	10083.0880737723	7401.9052750907	13325.1450208617	8950.1893946668	4989.9872907006	9882.9781864710	9621.7046159119	11869.8042001994	10693.2588210766	19451.3020531019	11267.7103750983	10287.7945195924	8989.8124074221	8271.9358200678	9892.5807342734	10954.4155349231	9072.8734572430	8048.9089816706	17462.8908882528	22634.1129983398	20360.1934363202	19443.6166655827
PPGPPMET-PWY: ppGpp metabolism	5536.3343720706	10023.4634591083	5389.5965537078	8750.0400608413	8493.2624896165	15495.4253900084	3194.0610881536	4903.5445638286	9295.3661455089	4554.9059775692	7412.6861801522	4213.5278570697	18048.4084491804	6277.6186006743	7544.3391311228	2666.6849860893	12068.8799905270	3359.3129038509	4987.6390664841	5443.7827989946	5836.9862142248	6092.7919572176	4011.2466071341	5946.0968520732	8453.3255818339	9760.1587351739	7283.2739015943	17600.3319203294	8632.1567933552	6426.1561819868	3476.1141021009	4714.6464494116	6104.4766037654	6978.7978404553	5082.0229408690	4419.1725442246	12461.5308656591	14284.9852915909	16462.8629028262	9748.3961982369
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	3207.5366073462	505.4901546023	147.5349978330	56.4824925270	1010.4211590687	733.3118821095	262.6973758024	1049.9489600807	85.1298685779	2228.0589858425	223.8617234242	547.4104573381	0	1000.1249766271	1422.9337834151	94.5098279451	1161.2875155091	299.5021596490	105.7924766778	177.6796603014	53.1145046422	72.6718627498	172.1501694342	158.8577274052	0	197.2997760541	262.8495459042	1821.1707793264	178.9232088611	1250.7759423930	1001.1699003181	1510.8920385832	557.5404328702	407.8603409893	1251.7155462416	1084.4249039318	3046.7933829586	300.4492575434	441.8048791674	4085.8932109782
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	21.0009383570	0	23.9315449047	317.1880165790	193.5446417751	1148.5285921592	0	0	0	0	0	90.8162846285	135.4377096596	0	30.2160954365	0	304.4936622030	10.1051096541	0	0	0	887.4623064496	26.5265191952	241.7079200889	12.2872232572	0	12.2803331894	53.1514175085	56.1733348245	297.4948662286	0	0	248.4908078234	0	9.5605348005	31.3317606629	229.5129567830	518.0440289075	23.0167496297	86.8365244899
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	5021.6965258804	6019.7964947899	4981.8722667558	19699.6736274513	8222.0915311266	15355.0050398923	1132.3803049028	12506.2235771238	3264.9348109183	1751.1756209493	8571.0283427887	8805.7090841865	22068.6072212338	7582.0690918025	8310.1816091169	4877.2403112200	5828.6710256634	4009.3739966802	8432.4674009947	5009.8909593341	6713.3721281608	8152.3996023507	3094.5438594661	3701.2635390374	14749.9352032621	4695.1496173212	4777.5668990644	17282.9805658576	11193.3233454400	5438.1493560606	7131.9612494177	3533.4065756523	6155.4603138877	4026.8472001927	8549.9207058522	1743.9007476348	20468.0228587243	14973.2176899770	4971.3464854336	20834.5068790899
PWY-101: photosynthesis light reactions	0	67.1692531713	0	117.0051738220	155.0034151967	1239.5004800922	66.2618197050	110.9762588613	35.2006879737	53.5741001592	29.1717460754	35.7604815374	141.4365702874	14.5967574995	66.9970631495	0	157.5760539554	424.6250474522	67.3941736303	105.8456468213	62.5619969627	936.0830993700	10.7670249737	31.9993532028	221.6458087322	59.7279658751	110.7358513829	100.8120022055	124.8496851717	0	0	0	251.7121134538	61.7781172623	92.3057539131	10.9052447607	354.3372082350	1002.0882733372	124.0043320228	365.8935522273
PWY-1042: glycolysis IV	60396.1551076935	63478.6282265959	59753.7573948036	63225.1717923438	29885.9388536391	65554.7002471721	35127.7325695768	30258.4712534397	35019.3644682171	35589.7898741229	32165.0705567466	31428.0727974359	35242.2718661762	32601.8265004064	36056.6244102168	41413.7872136118	53410.9556169252	31702.0682311795	30295.1207913226	31762.2976697854	35392.8515674460	30754.0819110354	37292.5170994729	35347.9735543148	34807.0809629549	29584.7967605866	32859.0366547308	59610.6059734758	36040.6362621197	34478.8042171458	36440.7258538676	34565.2180221919	30985.9648646927	31542.8229568714	39829.9922261791	32495.6955425988	62434.3224075050	58727.4953296852	62238.3634564665	67340.2687472177
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	9504.7013031071	17209.7944454301	3402.2367546252	15857.5505756389	6285.3628839650	15082.1713114919	2148.7388316298	2611.0367691459	7041.7304492614	2307.8559655847	7092.9141671122	5692.4088076084	14556.1719760902	420.6676875768	3996.5577875657	15492.7211989991	9027.0378512722	3942.8019821228	3672.3421797906	10255.4611121340	966.8464606200	2387.3020343067	6866.3622065921	5355.6982647874	5739.4518634154	9817.6215533886	6438.1292655005	14233.0285430784	2747.5305877291	4679.6439633904	942.3471100328	5276.3145222236	6858.3087169376	5888.9150171405	1693.9770783820	5754.8281903895	6824.1934165072	15286.6642113863	19101.1197515801	10258.7981348609
PWY-1361: benzoyl-CoA degradation I (aerobic)	54.1910735246	0	43.4287637876	169.5114576105	98.2917509985	666.9551027815	24.0532707604	0	0	0	0	25.3412873151	0	0	30.1085747192	17.6085732304	240.3163270583	0	0	0	0	903.0473537280	32.0578392586	161.4541168875	0	0	0	25.8012043384	55.5381340212	0	0	0	194.5282361582	0	0	0	53.7991573205	269.1834081310	25.9494239349	94.4952216267
PWY-1501: mandelate degradation I	19.4197883065	0	18.6217519009	32.6962869732	0	199.4615205460	0	0	0	0	0	29.3404287090	0	0	0	0	0	0	0	0	0	0	0	26.4695059466	0	0	0	0	38.0062304216	0	0	0	0	0	0	0	0	21.3494614377	14.3880847587	0
PWY-1622: formaldehyde assimilation I (serine pathway)	341.3320504020	845.2697284199	156.9259585254	726.1614514689	215.8052022316	71.2099028739	87.9539072292	164.7712833517	62.0510282362	621.7666833585	108.0445672371	94.2211465264	31.9789723657	0	130.1980945131	122.0519218541	219.5406452272	141.7926787521	152.4288095496	36.3990353123	302.3061662712	32.1165505433	159.8502444304	199.3550740584	0	88.3890472595	0	123.7081033168	160.6468685689	0	714.1324255907	188.7019916865	128.6814334283	373.6788608756	114.1457924686	259.9720310591	0	143.7216756733	0	593.8779578362
PWY-181: photorespiration	587.4678867577	1614.9997006679	256.2428450481	1204.5293565802	344.9935391708	113.7784493837	153.8723982794	272.9205920630	99.1863519747	1076.8123938018	174.5917203702	156.1795552130	51.0843672071	0	211.9099722636	196.8584750180	366.1470365088	247.6000518619	250.3866442218	58.6964322269	585.9090960648	51.5786344094	268.6594013989	323.6068433233	0	147.1368114926	0	197.8113109165	262.3288672609	0	2357.7425759981	325.7597312655	208.3683195038	625.3158229411	189.6269040681	431.4860613804	0	230.9828766251	0	1038.2197441453
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	4658.7266519684	3462.0849060032	3613.8946492022	2126.2371110753	2725.9446268596	3653.8586986389	3953.4956864922	5373.2792441642	2565.9221507537	2128.8294546407	939.8101213077	2820.7483012307	18187.9980662754	8902.7465083914	11709.2462637308	2439.6762348634	5978.0878965529	2317.9673206630	1927.8016141332	1806.0793513637	3527.6622740766	3665.2414513289	3665.5851497205	1728.6499115333	6803.6850705783	2658.5572835117	521.2858563761	6962.0700885020	3465.8840338060	1915.2375692913	7429.0746591074	1163.0271325540	1444.7937005638	1695.3339631706	5456.4703080609	2169.8454869146	13276.3344454323	1231.9766404033	1568.3844825123	11428.9171641565
PWY-2201: folate transformations I	5034.8172112501	11232.5212921029	4504.7464608241	9933.0494768009	10813.9239056454	22753.9300295284	2032.6566508418	3473.3016454702	9443.1367497982	2707.5736814333	11411.0289748736	6841.5204430898	17757.9988076425	1438.2400502310	5746.2994644612	1368.0485185565	17920.5012319669	1851.4294472658	3777.1174852967	8268.7008286586	2062.6510698051	5495.3756414502	4424.4883767331	6479.7848826471	4343.6864077742	9418.2815138448	11422.9440916651	22961.1359247904	5555.1736291689	9412.4805297401	655.6601657725	7079.2076640786	9788.5356693605	9710.3743852663	2133.1558924116	5391.8809719848	10148.2385772045	20618.7915703087	19330.9429753643	6015.1189464739
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	9156.2646188894	10165.1021224999	3489.9376924873	11174.7003744368	11012.7841418341	20713.1702167837	1583.0938749206	3218.2593749637	4319.6549901108	3713.3625114942	7230.3642760704	11407.4512436032	22299.4511648094	1071.4795889387	6398.2936270318	4095.1152262471	9318.5271819679	3935.7248862121	3082.8170518351	5056.5997033816	1658.1576846531	9787.1835301828	9287.9665151465	3452.1427650881	8319.4654451761	4300.5316039499	7127.8495274819	13691.8455537564	8917.3212390376	3576.0337499054	3248.9074621124	2263.9144416619	4427.6922488437	4863.9644282607	6580.2712689114	5766.3772462273	17613.3195894075	14225.5636521258	11486.7565829138	13284.3860857265
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	7125.9228196655	7768.1876682755	9472.1543369112	11223.1558297531	6782.5213673504	9886.2137785216	3221.0544253011	8587.6848891509	8923.4614926097	4906.5493701789	3728.9980538175	7331.5525112684	11212.8628515488	11397.6714113463	6415.9084603416	6854.4979211702	5948.6780617271	4856.3957010525	5553.4813782028	3812.1309149444	11455.9491803802	5625.8353353596	4950.5080161749	5662.4557626759	9774.2791249127	3784.2041128823	3783.1872330596	11728.0697740074	7036.1882656023	3030.0441431113	7999.6768999229	3413.1514434736	3782.8188741099	3961.1893935683	10683.7754759629	3427.0991600144	13367.5500896305	7424.8775212707	8721.1745538840	15346.4515390660
PWY-2504: superpathway of aromatic compound degradation via 3-oxoadipate	0	0	20.7566629222	0	0	255.4367521392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II	27501.4495667720	28159.4710920291	18544.1405435420	20882.0524646645	11504.6411881368	28291.0831096681	10092.5251942810	14311.2650957262	14207.2609693111	11958.1642000821	14535.8064126139	19396.7514826515	11413.7193579896	13163.3588026638	14413.3112245882	11904.4250075870	19751.0377737350	13479.8943766747	11253.5704968843	16600.3706240272	14889.2461058496	12576.2486436891	20174.3625469510	12428.7582890154	19683.0034382864	11473.4142200827	14978.1223554113	31584.0232347348	15401.7208202474	18523.4963926912	14181.6005353998	14252.2721570693	12568.7179598737	14515.4351667453	12202.4006331111	10428.2000332361	23358.1863180892	29961.7500731290	30195.5594897466	41797.5809013171
PWY-2942: L-lysine biosynthesis III	28703.7458135881	34552.6848003965	22633.9568012717	30800.8080187757	15382.3647860912	32402.4731993131	19651.3219797077	18791.8374730584	18585.7346152609	19861.8568636105	17322.0881066893	15247.5195636908	16521.6559258835	22737.6151295642	18757.1666467633	14461.3544054112	28267.1180722596	15266.4910261238	14196.7099705155	18416.5124405457	19413.4603733569	17026.4259650176	20003.3174046450	16012.3506634439	20462.8967484897	19066.4166706907	18446.7793936895	32953.5307071291	20501.1900108286	19468.6280864697	20466.1873449264	17089.7340119152	15217.0831674431	17540.9156219454	18376.6936093567	17532.6373956962	35233.0591877215	34379.4962147005	33559.6764381835	35429.7254662406
PWY-3001: superpathway of L-isoleucine biosynthesis I	35215.0815526117	40875.6552109651	47637.5921205620	47929.9907792546	22728.3493582142	42912.7085792673	25567.3045053162	25208.2216502938	23181.1174774247	24783.2472624652	21103.8613050522	21492.1389333630	30162.2290623755	30835.9767949920	24793.2046278728	30975.1074846365	35030.7532887784	22473.1379147778	24111.9530256693	18700.5842870866	32815.3667824590	22589.6855692299	22411.2458750769	25271.7530349155	23424.6928729590	20603.9250490301	21167.9930834643	43431.7705850637	25730.4482957142	23008.5361648573	30116.5637895599	23140.6142068792	20373.5423138988	22714.5571261692	30965.3114578712	24037.6045289328	48666.9691485151	40736.3263713578	39730.3184849298	51580.7514664316
PWY-3081: L-lysine biosynthesis V	0	0	0	0	16.5449463159	0	0	0	0	0	0	0	0	0	0	0	86.2394014958	0	0	0	0	0	19.1883806736	0	53.0460059978	12.3389394173	0	56.4172570977	0	0	0	0	0	0	0	0	0	48.2292684934	0	0
PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	123.8421274556	55.1673297241	0	0	0	110.7690749191	0	0	0	0	0	0	0	0	10.7165303600	0	0	0	0	0	0	0	0	10.3701084941	0	0	0	20.7550442132	0	0	0	0	409.4553207080	0	0	0	0	0	880.2808376744	0
